Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Millennium Club,Scotland,2,0,49.85,G,Europa
Milroy's Finest,Scotland,1,1,66,G,Europa
Miltonduff,Scotland,528,383,85.44,C,Europa
Miltonhaugh,Scotland,3,3,92.5,B,Europa
Mitchell's,Scotland,4,4,81.99,D,Europa
Mither Tap,Scotland,1,0,49.85,G,Europa
Moidart,Scotland,8,5,86.36,C,Europa
Monarch,Scotland,2,0,49.85,G,Europa
Moncreiffe,Scotland,2,1,82.25,D,Europa
Monkey Shoulder,Scotland,11,10,78.58,E,Europa
Mons Meg,Scotland,1,0,49.85,G,Europa
Monster,Scotland,1,0,49.85,G,Europa
Monster's Choice,Scotland,5,1,77.2,E,Europa
Monumental,Scotland,2,1,88,C,Europa
Moorland,Scotland,7,1,86,C,Europa
Morpheus,Scotland,1,1,86.75,C,Europa
Morrison,Scotland,2,1,82,D,Europa
Morrison's Machrie,Scotland,1,0,49.85,G,Europa
Morriston Gold,Scotland,1,1,76,E,Europa
Mortimers,Scotland,2,1,88,C,Europa
Mortlach,Scotland,1481,1104,86.15,C,Europa
Morton's,Scotland,1,0,49.85,G,Europa
Mortons,Scotland,2,1,85,C,Europa
MOS,Scotland,3,2,82.84,D,Europa
Mosstowie,Scotland,78,62,86.69,C,Europa
Mount Keen,Scotland,4,2,60.5,G,Europa
Mountain Cream,Scotland,1,0,49.85,G,Europa
Mr. Larry,Scotland,1,0,49.85,G,Europa
Mrs. Couvreur' Choice,Scotland,1,1,90.67,B,Europa
Muckle Flugga,Scotland,2,2,82.93,D,Europa
Muirhead's,Scotland,9,3,65.67,G,Europa
Muirs Inn,Scotland,1,0,49.85,G,Europa
Mull of Kintyre Music Festival,Scotland,4,2,85,C,Europa
Mull-A-Mhoine,Scotland,4,3,79.72,E,Europa
Munray,Scotland,1,1,88,C,Europa
Murdoch's Perfection,Scotland,10,3,82,D,Europa
Murrayfield,Scotland,2,0,49.85,G,Europa
Myrmhor,Scotland,1,1,82,D,Europa
Mysterious Morticia,Scotland,1,1,88,C,Europa
Mystery Dram,Scotland,1,1,85,C,Europa
Mystery Islay,Scotland,5,5,82.03,D,Europa
Mystery Little Piggy,Scotland,3,3,83.38,D,Europa
Mystery Speyside,Scotland,5,4,88.09,C,Europa
Nation of Scots,Scotland,1,1,81.5,D,Europa
Nectar d'Islay,Scotland,1,1,82.75,D,Europa
Nectar d'Speyside,Scotland,1,1,89,C,Europa
Nectar Grove,Scotland,1,1,84.05,D,Europa
Nessie's Nip,Scotland,1,0,49.85,G,Europa
Nethermill,Scotland,2,1,80,D,Europa
Neumarkt Special,Scotland,1,0,49.85,G,Europa
Nevis Dew,Scotland,11,6,72.96,F,Europa
New Town Blends,Scotland,2,2,83,D,Europa
New Waterway Malt,Scotland,1,1,81.67,D,Europa
New Year Malt,Scotland,1,0,49.85,G,Europa
Newcastle United,Scotland,1,0,49.85,G,Europa
Newport,Scotland,1,0,49.85,G,Europa
News from Heaven,Scotland,1,0,49.85,G,Europa
NEWT,Scotland,1,1,87.67,C,Europa
Newton and Ridley,Scotland,3,0,49.85,G,Europa
Nice 'n Peaty,Scotland,6,4,84.5,D,Europa
Nippy Sweetie,Scotland,1,0,49.85,G,Europa
No 1,Scotland,1,0,49.85,G,Europa
No Age,Scotland,9,8,87.78,C,Europa
No Name,Scotland,2,2,89.17,C,Europa
Noble Glen,Scotland,1,0,49.85,G,Europa
Noble Ryder,Scotland,1,0,49.85,G,Europa
Nobleman,Scotland,2,0,49.85,G,Europa
Nomad,Scotland,3,2,78.22,E,Europa
North British,Scotland,237,183,84.72,D,Europa
North Highland,Scotland,7,7,85.66,C,Europa
North Highlands,Scotland,1,0,49.85,G,Europa
North Islay,Scotland,1,1,85,C,Europa
North of Scotland,Scotland,52,44,87.33,C,Europa
North Port,Scotland,106,75,85.86,C,Europa
Northern Highland,Scotland,2,2,82,D,Europa
Not Islay,Scotland,1,1,83.33,D,Europa
Number One,Scotland,1,0,49.85,G,Europa
Oak Cross,Scotland,4,3,82.87,D,Europa
Oakfield,Scotland,1,0,49.85,G,Europa
Oban,Scotland,128,97,84.79,D,Europa
Ochterglen,Scotland,1,1,82,D,Europa
Octomore,Scotland,88,82,87.88,C,Europa
Oir Amber,Scotland,1,0,49.85,G,Europa
Oishii Wisukii,Scotland,3,3,89.86,C,Europa
Ol' Dirty Charlotte,Scotland,1,1,86,C,Europa
Old Angus,Scotland,3,1,85,C,Europa
Old Argyll,Scotland,7,1,84.25,D,Europa
Old Armour,Scotland,3,1,80,D,Europa
Old Arthur,Scotland,1,0,49.85,G,Europa
Old Ballantruan,Scotland,15,14,80.56,D,Europa
Old Bannockburn,Scotland,2,1,89,C,Europa
Old Barrister,Scotland,3,1,76,E,Europa
Old Boy,Scotland,1,1,74,F,Europa
Old Bridge,Scotland,4,1,72,F,Europa
Old but nevertheless Whisky,Scotland,1,0,49.85,G,Europa
Old Castle,Scotland,2,0,49.85,G,Europa
Old Choice,Scotland,3,0,49.85,G,Europa
Old Clan,Scotland,2,1,82,D,Europa
Old Coach,Scotland,2,0,49.85,G,Europa
Old Cobblers,Scotland,2,0,49.85,G,Europa
Old Country,Scotland,1,0,49.85,G,Europa
Old Course,Scotland,2,0,49.85,G,Europa
Old Court,Scotland,6,1,79.5,E,Europa
Old Crackman,Scotland,3,0,49.85,G,Europa
Old Crofter,Scotland,1,1,38,G,Europa
Old Dornie,Scotland,1,0,49.85,G,Europa
Old Elgin,Scotland,24,13,86.37,C,Europa
Old England,Scotland,1,0,49.85,G,Europa
Old George,Scotland,1,0,49.85,G,Europa
Old Glasgow,Scotland,2,0,49.85,G,Europa
Old Glen,Scotland,1,1,69,G,Europa
Old Glencrinan,Scotland,1,0,49.85,G,Europa
Old Glenn,Scotland,3,2,72.75,F,Europa
Old Guns,Scotland,2,1,82.38,D,Europa
Old Harry,Scotland,1,0,49.85,G,Europa
Old Harvey,Scotland,1,0,49.85,G,Europa
Old Highland,Scotland,1,0,49.85,G,Europa
Old House,Scotland,1,0,49.85,G,Europa
Old House No. 1,Scotland,3,2,60.25,G,Europa
Old Inn,Scotland,2,0,49.85,G,Europa
Old Inverness,Scotland,1,1,78.67,E,Europa
Old Keeper,Scotland,3,3,50.49,G,Europa
Old Level,Scotland,1,0,49.85,G,Europa
Old Lord,Scotland,1,0,49.85,G,Europa
Old Lords,Scotland,1,0,49.85,G,Europa
Old Mac,Scotland,1,0,49.85,G,Europa
Old MacLoy,Scotland,1,0,49.85,G,Europa
Old Masters,Scotland,2,0,49.85,G,Europa
Old McMeiderich,Scotland,1,0,49.85,G,Europa
Old Memories,Scotland,1,0,49.85,G,Europa
Old Mull,Scotland,4,2,82.25,D,Europa
Old Mull Blend,Scotland,1,0,49.85,G,Europa
Old Norman,Scotland,1,0,49.85,G,Europa
Old Orkney,Scotland,7,6,79.78,E,Europa
Old Parr,Scotland,13,3,85.91,C,Europa
Old Perth,Scotland,25,22,82.55,D,Europa
Old Pulteney,Scotland,455,356,85.66,C,Europa
Old Rarity,Scotland,10,6,80.35,D,Europa
Old Rhosdhu,Scotland,28,14,77.64,E,Europa
Old Royal,Scotland,7,2,80.5,D,Europa
Old Scotch Whisky,Scotland,3,0,49.85,G,Europa
Old Scotia,Scotland,NA,0,49.85,G,Europa
Old Shipbuilder,Scotland,1,0,49.85,G,Europa
Old Skinner's,Scotland,1,0,49.85,G,Europa
Old Smoothey,Scotland,1,0,49.85,G,Europa
Old Smuggler,Scotland,18,12,75.89,E,Europa
Old Speyside,Scotland,2,2,91.02,B,Europa
Old Squire,Scotland,1,0,49.85,G,Europa
Old St. Andrews,Scotland,26,11,71.74,F,Europa
Old Stock Reserve,Scotland,3,3,90.71,B,Europa
Old Tavern,Scotland,NA,0,49.85,G,Europa
Old Troon,Scotland,4,1,24,G,Europa
Old Warrior,Scotland,1,0,49.85,G,Europa
Old West Whisky,Scotland,1,0,49.85,G,Europa
Old Worthy,Scotland,2,0,49.85,G,Europa
Oldfield's Blue Label,Scotland,4,0,49.85,G,Europa
Oldman,Scotland,1,0,49.85,G,Europa
Oldmoor,Scotland,10,1,82,D,Europa
OMBC,Scotland,1,0,49.85,G,Europa
Operation Overlord,Scotland,1,0,49.85,G,Europa
Optimism,Scotland,1,1,83,D,Europa
Òran Mór,Scotland,2,0,49.85,G,Europa
Orangerie,Scotland,2,2,70.93,F,Europa
Orcadian,Scotland,1,1,87.5,C,Europa
Ord,Scotland,24,21,88.44,C,Europa
Òrdha-Meas,Scotland,2,1,80,D,Europa
Ordinary Whisky,Scotland,1,1,91,B,Europa
Orkney,Scotland,14,11,86.94,C,Europa
Orkney Islands,Scotland,14,8,87.86,C,Europa
Orkney Single Malt,Scotland,6,5,87.37,C,Europa
Orkneyjar,Scotland,1,1,85.5,C,Europa
Over an Islay Rainbow,Scotland,5,1,90,B,Europa
Overaged Malt Whisky,Scotland,14,11,87.06,C,Europa
Oxford,Scotland,2,0,49.85,G,Europa
P&O,Scotland,1,0,49.85,G,Europa
Page & Sandeman,Scotland,1,0,49.85,G,Europa
Pandora's Box,Scotland,1,1,66.5,G,Europa
Paragon,Scotland,1,1,84.69,D,Europa
Park Gate,Scotland,3,2,79.25,E,Europa
Park Lane,Scotland,6,2,81.67,D,Europa
Parkers,Scotland,4,1,72,F,Europa
Parkmore,Scotland,2,1,87,C,Europa
Pàrlamaid na h-Alba,Scotland,1,0,49.85,G,Europa
Parliament,Scotland,3,0,49.85,G,Europa
Partick Thistle,Scotland,2,0,49.85,G,Europa
Partridge,Scotland,1,0,49.85,G,Europa
Passport,Scotland,13,4,74.33,F,Europa
Patmar's,Scotland,1,0,49.85,G,Europa
Peak,Scotland,1,0,49.85,G,Europa
Peat,Scotland,5,4,84.86,D,Europa
Peat 2 Peat,Scotland,1,1,90,B,Europa
Peat at the Foot of the River,Scotland,1,1,86,C,Europa
Peat Bog,Scotland,10,10,85.21,C,Europa
Peat Chimney,Scotland,9,8,80.63,D,Europa
Peat Dreams,Scotland,1,1,84.91,D,Europa
Peat Freak,Scotland,1,1,85,C,Europa
Peat Peak,Scotland,1,1,82.25,D,Europa
Peat Reek,Scotland,55,41,85.23,C,Europa
Peat's Beast,Scotland,6,5,83.9,D,Europa
Peatbull,Scotland,1,0,49.85,G,Europa
Peated Highland,Scotland,16,15,83.67,D,Europa
Peated Orkney,Scotland,1,0,49.85,G,Europa
Peatfire!,Scotland,1,1,82,D,Europa
Peatland,Scotland,1,1,77,E,Europa
Peatreekers,Scotland,1,0,49.85,G,Europa
Peatside,Scotland,13,10,83.6,D,Europa
Peaty Five,Scotland,6,3,84.44,D,Europa
Pebble Beach,Scotland,1,1,83.25,D,Europa
Penrose,Scotland,1,0,49.85,G,Europa
Perry's,Scotland,2,0,49.85,G,Europa
Peter Dawson,Scotland,16,2,76.5,E,Europa
Pheasant Plucker,Scotland,2,0,49.85,G,Europa
Phenomenology,Scotland,2,2,87.4,C,Europa
Pig's Nose,Scotland,5,5,76.32,E,Europa
Pillage,Scotland,2,2,86.67,C,Europa
Pillaged,Scotland,1,1,90.5,B,Europa
Pinch,Scotland,6,4,79.58,E,Europa
Pinwinnie,Scotland,9,4,76.61,E,Europa
Pipe Major,Scotland,3,0,49.85,G,Europa
Piper,Scotland,2,0,49.85,G,Europa
Pipers Clan,Scotland,5,0,49.85,G,Europa
Pittyvaich,Scotland,90,54,83.88,D,Europa
Plankinton Reserve,Scotland,1,0,49.85,G,Europa
Plus-Four,Scotland,1,0,49.85,G,Europa
Pluscarden,Scotland,4,4,87.86,C,Europa
Pluscarden Valley,Scotland,3,2,90.75,B,Europa
Plutonia,Scotland,5,5,87.79,C,Europa
Pointers,Scotland,8,0,49.85,G,Europa
Poit Dhubh,Scotland,31,21,84.12,D,Europa
Polly's Casks,Scotland,1,0,49.85,G,Europa
Port Askaig,Scotland,23,23,86.87,C,Europa
Port Cask,Scotland,2,2,89.63,C,Europa
Port Charlotte,Scotland,495,418,87.74,C,Europa
Port Dundas,Scotland,125,96,85.72,C,Europa
Port Ellen,Scotland,1049,832,89.63,C,Europa
Portside,Scotland,1,1,87.76,C,Europa
Portsoy,Scotland,1,1,85.88,C,Europa
Pot Lid,Scotland,2,0,49.85,G,Europa
Premiers,Scotland,18,0,49.85,G,Europa
Premiers Choice,Scotland,2,2,83.13,D,Europa
President,Scotland,4,3,81.78,D,Europa
Prestonfield,Scotland,10,7,84.32,D,Europa
Prestonfield House,Scotland,3,3,80.56,D,Europa
Preußische P8 382267,Scotland,1,1,86.25,C,Europa
Pride of Islay,Scotland,5,5,83.56,D,Europa
Pride of Orkney,Scotland,5,5,81.8,D,Europa
Pride of Strathspey,Scotland,27,21,91.74,B,Europa
Pride of the Lowlands,Scotland,3,2,83.97,D,Europa
Prime Blue,Scotland,5,0,49.85,G,Europa
Prince Charlie,Scotland,6,0,49.85,G,Europa
Prince Howard,Scotland,1,0,49.85,G,Europa
Prince Regent,Scotland,1,1,90.22,B,Europa
Princes Liqueur,Scotland,1,0,49.85,G,Europa
Pritchard's,Scotland,1,0,49.85,G,Europa
Private Stock,Scotland,6,6,81.31,D,Europa
Probably Speyside's Finest,Scotland,34,31,89.29,C,Europa
Prometheus,Scotland,3,3,89.58,C,Europa
Pure Malt,Scotland,8,2,80.25,D,Europa
Pure Malt Scotch Whisky,Scotland,2,1,89,C,Europa
Pure Scot,Scotland,3,1,76.75,E,Europa
Pure Single Malt,Scotland,8,6,88,C,Europa
Purely Medicinal,Scotland,1,0,49.85,G,Europa
Putachieside,Scotland,4,3,82.72,D,Europa
Q & P Land,Scotland,2,0,49.85,G,Europa
QE2,Scotland,5,2,86,C,Europa
Queen Anne,Scotland,23,9,79.74,E,Europa
Queen Elizabeth,Scotland,5,1,83,D,Europa
Queen Margot,Scotland,7,5,63.81,G,Europa
Queen Mary of Scots,Scotland,1,1,35,G,Europa
Queen Mary's Seal,Scotland,1,0,49.85,G,Europa
Queen of Scotland,Scotland,1,1,57.2,G,Europa
Queen of Scots,Scotland,1,1,54,G,Europa
Queen of Spey,Scotland,1,1,84.33,D,Europa
Queen's Castle,Scotland,4,1,80,D,Europa
Queen's Tower,Scotland,2,0,49.85,G,Europa
Queensferry Lodge Hotel,Scotland,1,0,49.85,G,Europa
Quintessential,Scotland,1,0,49.85,G,Europa
R & B,Scotland,2,0,49.85,G,Europa
R. A,Scotland,1,0,49.85,G,Europa
Raasay,Scotland,3,3,84.21,D,Europa
Rabbie's Dram,Scotland,1,0,49.85,G,Europa
Ramston,Scotland,1,0,49.85,G,Europa
Randy Ruby,Scotland,1,1,87.63,C,Europa
Rangers Football Club,Scotland,9,0,49.85,G,Europa
Rare Auld Blended,Scotland,1,1,87,C,Europa
Rare Highland Single Malt Whisky,Scotland,1,0,49.85,G,Europa
Rascally Liquor,Scotland,6,6,77.6,E,Europa
Rattray's Selection,Scotland,3,1,87.57,C,Europa
Ravishing Rosie,Scotland,1,1,87.14,C,Europa
Real Antique,Scotland,1,0,49.85,G,Europa
Real Mackay,Scotland,1,1,28,G,Europa
Red Baron,Scotland,1,1,88.4,C,Europa
Red Baron of Speyside,Scotland,1,1,88.09,C,Europa
Red Ducat,Scotland,1,0,49.85,G,Europa
Red Flower,Scotland,1,0,49.85,G,Europa
Red Hackle,Scotland,12,3,83.17,D,Europa
Red Hill,Scotland,1,0,49.85,G,Europa
Red Hills,Scotland,5,1,80,D,Europa
Red Lion,Scotland,2,1,70,F,Europa
Red Manor,Scotland,1,0,49.85,G,Europa
Red Snake,Scotland,14,10,84.27,D,Europa
Red Star,Scotland,1,1,79,E,Europa
Redil,Scotland,1,0,49.85,G,Europa
Referendum,Scotland,1,0,49.85,G,Europa
Regal Queen,Scotland,1,0,49.85,G,Europa
Regal Reserve,Scotland,1,0,49.85,G,Europa
Regency,Scotland,1,0,49.85,G,Europa
Regent,Scotland,1,0,49.85,G,Europa
Reliance,Scotland,11,3,82.33,D,Europa
Resurrection,Scotland,1,1,88.82,C,Europa
Rhinnesdhu,Scotland,2,1,86,C,Europa
Rhyniemhor,Scotland,1,0,49.85,G,Europa
Richardson,Scotland,3,0,49.85,G,Europa
Rìgh Seumas,Scotland,2,2,82.47,D,Europa
Rivals,Scotland,1,1,90.5,B,Europa
Riverflow,Scotland,1,1,77.8,E,Europa
Rob Roy,Scotland,14,3,81.78,D,Europa
Robbie Burns,Scotland,4,3,80.47,D,Europa
Robbie Dhu,Scotland,3,2,79,E,Europa
Robert Burns,Scotland,22,19,75.58,E,Europa
Robert the Bruce,Scotland,1,0,49.85,G,Europa
Robertson's,Scotland,7,4,79.31,E,Europa
Rock Oyster,Scotland,9,8,82.98,D,Europa
Roderick Dhu,Scotland,4,3,78.47,E,Europa
Rodger's Old Scots,Scotland,3,0,49.85,G,Europa
Rodger's Special,Scotland,1,0,49.85,G,Europa
Rogha,Scotland,1,1,93,B,Europa
Roghainn Nam Feareolais,Scotland,1,1,85,C,Europa
Ron Burgundy,Scotland,1,0,49.85,G,Europa
Ronson,Scotland,2,0,49.85,G,Europa
Rosebank,Scotland,563,388,86.25,C,Europa
Ross & Cameron's,Scotland,2,1,91,B,Europa
Ross's,Scotland,1,0,49.85,G,Europa
Rosscanich,Scotland,1,1,92,B,Europa
Rossend Castle,Scotland,1,1,78.67,E,Europa
Rosslea,Scotland,1,0,49.85,G,Europa
Royal,Scotland,2,0,49.85,G,Europa
Royal Ages,Scotland,4,2,80.5,D,Europa
Royal Award,Scotland,1,0,49.85,G,Europa
Royal Blend,Scotland,1,0,49.85,G,Europa
Royal Brackla,Scotland,330,219,83.9,D,Europa
Royal Bruce,Scotland,2,1,71,F,Europa
Royal Burgh of Forres,Scotland,1,0,49.85,G,Europa
Royal Cadet,Scotland,1,0,49.85,G,Europa
Royal Cask,Scotland,1,0,49.85,G,Europa
Royal Castle,Scotland,2,0,49.85,G,Europa
Royal Club,Scotland,2,0,49.85,G,Europa
Royal College Of Surgeons,Scotland,1,0,49.85,G,Europa
Royal Command,Scotland,1,1,87,C,Europa
Royal Crown,Scotland,2,0,49.85,G,Europa
Royal Crystal,Scotland,6,0,49.85,G,Europa
Royal Culross,Scotland,5,2,80.13,D,Europa
Royal Deeside,Scotland,4,1,65,G,Europa
Royal Elgin,Scotland,3,2,84.5,D,Europa
Royal Escort,Scotland,3,0,49.85,G,Europa
Royal Findhorn,Scotland,1,1,78,E,Europa
Royal Game,Scotland,1,0,49.85,G,Europa
Royal Glendee,Scotland,1,1,89.64,C,Europa
Royal Highlander,Scotland,1,0,49.85,G,Europa
Royal Island,Scotland,6,3,88.75,C,Europa
Royal Lochnagar,Scotland,175,132,84.03,D,Europa
Royal Mac,Scotland,1,0,49.85,G,Europa
Royal MacGill,Scotland,1,0,49.85,G,Europa
Royal Martins',Scotland,1,1,83,D,Europa
Royal Park,Scotland,2,1,75,E,Europa
Royal Peacock,Scotland,1,0,49.85,G,Europa
Royal Pheasant,Scotland,1,1,77,E,Europa
Royal Salute,Scotland,70,43,85.33,C,Europa
Royal Sovereign,Scotland,1,0,49.85,G,Europa
Royal Stewart,Scotland,2,0,49.85,G,Europa
Royal Stirling,Scotland,2,1,71.5,F,Europa
Royal Thistle,Scotland,2,1,77,E,Europa
Royal Wedding Commemorative Miniature,Scotland,2,0,49.85,G,Europa
Royalty,Scotland,1,0,49.85,G,Europa
RR,Scotland,1,0,49.85,G,Europa
Ruadh Maor,Scotland,6,4,85.06,C,Europa
Ruby of Islay,Scotland,2,2,86.55,C,Europa
Runrig,Scotland,1,1,83.5,D,Europa
Rutherford & Kay,Scotland,1,0,49.85,G,Europa
Rutherford's,Scotland,22,3,78.33,E,Europa
S & S Scotch,Scotland,1,0,49.85,G,Europa
Saccone & Speed,Scotland,2,0,49.85,G,Europa
Sailor's,Scotland,2,0,49.85,G,Europa
Sainsbury's,Scotland,11,7,78.55,E,Europa
Saint Isidore,Scotland,1,1,86,C,Europa
Sainte Claire Club,Scotland,1,0,49.85,G,Europa
Salty Breeze,Scotland,2,0,49.85,G,Europa
Saltyre,Scotland,2,2,83.25,D,Europa
Sam Schatz,Scotland,1,0,49.85,G,Europa
Samaroli by Samaroli,Scotland,8,1,75.5,E,Europa
Samaroli Diamond,Scotland,1,0,49.85,G,Europa
Same as 10k,Scotland,1,1,86.86,C,Europa
Sandeman,Scotland,6,1,64,G,Europa
Sandend,Scotland,1,1,87.11,C,Europa
Sandend Bay,Scotland,3,3,83.69,D,Europa
Sandy Macdonald,Scotland,5,3,83.08,D,Europa
Sandy Macnab's,Scotland,7,4,83.46,D,Europa
Sandy Ross,Scotland,1,0,49.85,G,Europa
Saunders',Scotland,3,0,49.85,G,Europa
Scalloway,Scotland,1,0,49.85,G,Europa
Scallywag,Scotland,15,15,88.16,C,Europa
Scapa,Scotland,312,177,83.92,D,Europa
Scot's Castle,Scotland,1,0,49.85,G,Europa
Scotch  Label,Scotland,2,0,49.85,G,Europa
Scotch Blue,Scotland,2,2,74,F,Europa
Scotch Clan,Scotland,1,0,49.85,G,Europa
Scotch Clarion,Scotland,1,1,60,G,Europa
Scotch Flag,Scotland,1,0,49.85,G,Europa
Scotch Forest,Scotland,1,0,49.85,G,Europa
Scotch Guard,Scotland,4,0,49.85,G,Europa
Scotch Islay Single Malt Whisky,Scotland,1,1,89.5,C,Europa
Scotch Malt Whisky,Scotland,3,2,83.62,D,Europa
Scotch No. 10,Scotland,6,1,79.25,E,Europa
Scotch Ocean,Scotland,1,0,49.85,G,Europa
Scotch on the Rocks,Scotland,1,0,49.85,G,Europa
Scotch Rill,Scotland,2,0,49.85,G,Europa
Scotch Universe,Scotland,51,48,86.35,C,Europa
Scotch Whisky,Scotland,10,4,80.25,D,Europa
Scotchman,Scotland,2,1,58.5,G,Europa
Scotchwhisky.com,Scotland,1,1,87,C,Europa
Scotia Royale,Scotland,2,1,80.75,D,Europa
Scotland's Ripe Old Age,Scotland,1,0,49.85,G,Europa
Scots Grey,Scotland,NA,0,49.85,G,Europa
Scots Guards,Scotland,1,0,49.85,G,Europa
Scots Knight,Scotland,1,0,49.85,G,Europa
Scots Poet,Scotland,1,0,49.85,G,Europa
Scott's Special,Scotland,1,1,82.67,D,Europa
Scottish Arch-Duke,Scotland,1,0,49.85,G,Europa
Scottish Castle,Scotland,1,0,49.85,G,Europa
Scottish Castles,Scotland,2,0,49.85,G,Europa
Scottish Collie,Scotland,3,2,67.34,G,Europa
Scottish Cream,Scotland,1,0,49.85,G,Europa
Scottish Crown,Scotland,1,0,49.85,G,Europa
Scottish Dance,Scotland,2,0,49.85,G,Europa
Scottish Glen,Scotland,1,0,49.85,G,Europa
Scottish Glory,Scotland,3,2,70,F,Europa
Scottish Leader,Scotland,19,11,76.45,E,Europa
Scottish Majesty,Scotland,2,0,49.85,G,Europa
Scottish Parliament,Scotland,5,1,85,C,Europa
Scottish Peer,Scotland,1,0,49.85,G,Europa
Scottish Prince,Scotland,1,1,77,E,Europa
Scottish Queen,Scotland,1,0,49.85,G,Europa
Scottish Royal,Scotland,2,0,49.85,G,Europa
Seann Phortrigh,Scotland,1,0,49.85,G,Europa
Secret Bottlings Series,Scotland,21,17,83.94,D,Europa
Secret Casks,Scotland,1,1,86.6,C,Europa
Secret Distillery,Scotland,7,7,85.54,C,Europa
Secret Highland,Scotland,1,1,83,D,Europa
Secret Islay,Scotland,6,2,86.8,C,Europa
Secret Orkney Distillery,Scotland,1,1,86.72,C,Europa
Secret Speyside Distillery,Scotland,7,6,88.07,C,Europa
Secrets of Islay,Scotland,1,1,85.33,C,Europa
Selection from Islay,Scotland,3,1,67,G,Europa
Selkie,Scotland,1,1,83.56,D,Europa
Sennachie,Scotland,2,2,94,B,Europa
Serendipity,Scotland,1,1,83.45,D,Europa
Seven Eleven,Scotland,1,0,49.85,G,Europa
Seven Islands,Scotland,1,1,84.5,D,Europa
Seventieth Anniversary Malt,Scotland,1,1,87.9,C,Europa
Share & Enjoy,Scotland,1,1,87,C,Europa
Sheep Dip,Scotland,23,17,79.73,E,Europa
Sherry,Scotland,2,1,83.24,D,Europa
Sherry Cask Collection,Scotland,6,6,86.59,C,Europa
Shetland,Scotland,1,0,49.85,G,Europa
Shetland Reel,Scotland,7,2,85.5,C,Europa
Shieldaig,Scotland,11,3,80.58,D,Europa
Shootlands,Scotland,1,0,49.85,G,Europa
Shore Porters' Society,Scotland,1,0,49.85,G,Europa
Shyte Whisky,Scotland,1,1,83,D,Europa
SIA,Scotland,1,1,75,E,Europa
Siar-Port,Scotland,1,1,81,D,Europa
Silver Barley,Scotland,1,0,49.85,G,Europa
Silver Seal,Scotland,15,11,76.25,E,Europa
Silverstone,Scotland,2,0,49.85,G,Europa
Simpson's,Scotland,2,0,49.85,G,Europa
Single Cask Single Island Malt,Scotland,1,1,84.67,D,Europa
Single Cask Single Islay Malt,Scotland,4,2,82,D,Europa
Single Grain Scotch Whisky,Scotland,2,2,81.13,D,Europa
Single Highland Malt,Scotland,3,1,86.25,C,Europa
Single Highland Malt Whisky,Scotland,1,0,49.85,G,Europa
Single Island Malt,Scotland,6,3,86.33,C,Europa
Single Islay Malt,Scotland,12,7,83.89,D,Europa
Single Islay Malt Scotch Whisky,Scotland,3,2,80.67,D,Europa
Single Lowland Grain,Scotland,1,1,90.92,B,Europa
Single Lowland Malt,Scotland,3,2,80.75,D,Europa
Single Malt Highland Scotch Whisky,Scotland,1,0,49.85,G,Europa
Single Malt Scotch Whisky,Scotland,10,3,79.83,E,Europa
Single Malt Speyside Scotch Whisky,Scotland,1,1,73,F,Europa
Single Speyside,Scotland,2,1,86,C,Europa
Single Speyside Malt,Scotland,4,1,88.47,C,Europa
Single Speyside Malt Scotch Whisky,Scotland,2,1,87,C,Europa
Single-single,Scotland,13,9,86.94,C,Europa
Sintez Group & Co,Scotland,1,0,49.85,G,Europa
Sir Connery,Scotland,1,1,64.33,G,Europa
Sir Edward's,Scotland,11,3,62.92,G,Europa
Sir Frederic,Scotland,1,0,49.85,G,Europa
Sir Harald,Scotland,1,0,49.85,G,Europa
Sir James,Scotland,1,0,49.85,G,Europa
Sir No. 1,Scotland,1,0,49.85,G,Europa
Sir Pitterson,Scotland,2,1,31,G,Europa
Sir Walter Raleigh,Scotland,5,1,68,G,Europa
Skara Brae,Scotland,4,2,86.41,C,Europa
Skara Brae,Scotland,1,1,83,D,Europa
Skerridhu,Scotland,1,1,84,D,Europa
Skotlantilaista Whiskyä,Scotland,1,0,49.85,G,Europa
SKScott,Scotland,1,0,49.85,G,Europa
Skye,Scotland,1,1,96,A,Europa
Slaintheva,Scotland,8,4,81.2,D,Europa
Slochmor,Scotland,1,1,85,C,Europa
Smo'key,Scotland,2,0,49.85,G,Europa
Smoke Bomb,Scotland,1,1,82.75,D,Europa
Smoked!,Scotland,1,1,82,D,Europa
Smokehead,Scotland,15,12,83.48,D,Europa
Smokestack,Scotland,1,1,83.5,D,Europa
Smokey Joe,Scotland,2,1,79.87,E,Europa
Smokin',Scotland,1,1,78.44,E,Europa
Smokin' Islay Malt,Scotland,1,1,87.85,C,Europa
Smoking Buffalo,Scotland,7,7,86.82,C,Europa
Smoking Islay,Scotland,52,40,84.84,D,Europa
Smoking Mill,Scotland,1,1,90,B,Europa
Smoky Goat,Scotland,1,1,74.92,F,Europa
Smoky Voice,Scotland,1,1,87.17,C,Europa
Smooth Gentleman,Scotland,4,3,79.11,E,Europa
Smuggler's Vintage Cask,Scotland,1,1,87,C,Europa
Solo,Scotland,1,0,49.85,G,Europa
Somerset,Scotland,1,0,49.85,G,Europa
Something Special,Scotland,21,12,82.67,D,Europa
Somewhere from the Speyside,Scotland,2,1,80.57,D,Europa
Somewhere in Speyside,Scotland,1,1,91.59,B,Europa
Somewhere in the Speyside Region,Scotland,1,1,89.17,C,Europa
