Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Doinich Daal,Germany,3,3,77.17,E,Europa
Dolleruper,Germany,3,1,50,G,Europa
Don of Schwetzingen,Germany,1,1,89.67,C,Europa
Don of the Isles,Germany,3,3,89.87,C,Europa
Donatella,Germany,8,2,90,B,Europa
Dresdner Single Malt Whisky,Germany,1,0,49.85,G,Europa
Drexler,Germany,37,11,72.7,F,Europa
Duo Malt Whisky,Germany,1,1,85.5,C,Europa
Edelbrände Senft,Germany,13,11,72.43,F,Europa
Eifel Destillate,Germany,29,13,77.81,E,Europa
Elbe 1,Germany,4,3,71.89,F,Europa
Elbe-Valley NORDIK Whisky,Germany,4,4,60.67,G,Europa
Elch Whisky,Germany,5,5,84.28,D,Europa
Fading Hill,Germany,20,13,77.92,E,Europa
Fallsteiner-Whisky,Germany,2,1,61.5,G,Europa
Feindestillerie Geistreich,Germany,1,0,49.85,G,Europa
Feller,Germany,13,9,82.24,D,Europa
Finch,Germany,35,31,79.45,E,Europa
Floyd's 55,Germany,NA,0,49.85,G,Europa
Fortbacher,Germany,1,1,80,D,Europa
Franziskus,Germany,1,1,13,G,Europa
Fritzen's,Germany,1,0,49.85,G,Europa
Gasthof Hirsch,Germany,1,1,58,G,Europa
Gäu Whisky,Germany,5,1,83,D,Europa
Gerhard Büchner,Germany,4,3,66.28,G,Europa
Geuting,Germany,18,9,75.52,E,Europa
Giant's  Causeway,Germany,NA,0,49.85,G,Europa
Gilors,Germany,13,9,65.22,G,Europa
Glan Iarran,Germany,1,0,49.85,G,Europa
Glan Taint,Germany,1,0,49.85,G,Europa
Glen Els,Germany,212,180,86.04,C,Europa
Glen Slitisa,Germany,6,3,75.83,E,Europa
Glina Whisky,Germany,13,5,72.6,F,Europa
Gold Ochsen,Germany,1,1,68.25,G,Europa
Good Old Riedbacher,Germany,2,0,49.85,G,Europa
Grüner Hund,Germany,12,5,75.6,E,Europa
Gruwehewwel,Germany,4,3,88.95,C,Europa
Gryphon,Germany,1,1,72,F,Europa
Gutshof Andres,Germany,1,0,49.85,G,Europa
Haas,Germany,11,4,76.19,E,Europa
Habbel,Germany,2,1,53.33,G,Europa
Haeusler & Katsch,Germany,1,0,49.85,G,Europa
Hamburg Malt,Germany,3,3,80.5,D,Europa
Hessentagswhisky,Germany,1,1,74.25,F,Europa
Hessischer Single Malt Whisky,Germany,1,1,82.33,D,Europa
Hillock,Germany,6,4,69.58,G,Europa
Hinricus Noyte,Germany,4,3,82.22,D,Europa
Hohenheimer Whisky,Germany,5,1,50,G,Europa
Höllberg,Germany,2,2,61.75,G,Europa
Homberg KG,Germany,1,0,49.85,G,Europa
Hüttengold,Germany,1,1,89.17,C,Europa
Jack's Pirate,Germany,30,29,85.31,C,Europa
Jenaer Holzbock,Germany,6,1,75,E,Europa
John Malcom,Germany,2,1,67.25,G,Europa
Kahlgrund Whisky,Germany,1,1,74,F,Europa
Kemper's Roggen Whisky,Germany,2,2,84.43,D,Europa
Kinzigbrennerei,Germany,15,8,73.44,F,Europa
Kloster Machern,Germany,1,1,70,F,Europa
Kloster Whisky,Germany,1,1,83,D,Europa
Kloster Zinna,Germany,1,0,49.85,G,Europa
Kohut,Germany,1,0,49.85,G,Europa
Köppel Brennerei,Germany,1,0,49.85,G,Europa
Krautheimer,Germany,4,4,76.94,E,Europa
Krottentaler,Germany,3,1,75.33,E,Europa
Kymsee,Germany,6,5,78.43,E,Europa
La Famiglia Nostra,Germany,25,19,89.72,C,Europa
